measurement_time,measurement_name,value
2019-09-05 00:54:00,Temp_1,30.0
2019-09-05 00:54:00,Temp_2,29.895
2019-09-05 01:12:00,Temp_1,30.0
2019-09-05 01:12:00,Temp_2,30.0
2019-09-05 01:24:00,Temp_1,30.0
2019-09-05 01:24:00,Temp_2,29.955
2019-09-05 01:42:00,Temp_2,29.925
2019-09-05 01:42:00,Temp_1,30.0
2019-09-05 01:54:00,Temp_1,30.0
2019-09-05 01:54:00,Temp_2,30.105
2019-09-05 02:12:00,Temp_1,29.895
2019-09-05 02:12:00,Temp_2,30.0
2019-09-05 02:24:00,Temp_1,30.0
2019-09-05 02:24:00,Temp_2,30.03
2019-09-05 02:42:00,Temp_1,30.0
2019-09-05 02:42:00,Temp_2,30.0
2019-09-05 02:54:00,Temp_1,30.0
